"time" "S" "E" "I_symp" "I_asymp" "R" "Cumulative" "Incidence_reported" "Incidence_non_reported" "Datum"
48 2374549 0 1 0 0 1 0 0 2020-02-17
49 2374538.73613212 9.30877778011661 0.830072115758429 0.881679168055753 0.243338814873008 11.2638678778894 0.0231806819230355 1.80206986319787 2020-02-18
50 2374528.15445295 17.2798224554816 0.709954002003428 3.08114985872297 0.77462073408637 21.8455470493063 0.0430301461146305 3.34517033535234 2020-02-19
51 2374515.41842843 25.8123218073462 0.629966333801363 6.30897888861809 1.8303045399429 34.5815715687349 0.0642777425398622 4.99696182752802 2020-02-20
52 2374498.90631268 36.2788816841179 0.585753764191369 10.605685370624 3.62336650656619 51.093687324319 0.0903415288996662 7.02316468367248 2020-02-21
53 2374476.84918606 49.9457280976226 0.57666511721507 16.2310311738376 6.39738954835207 73.1508139353245 0.124374656243099 9.66890536289858 2020-02-22
54 2374447.06572857 68.2317554738569 0.605162724071007 23.630559715353 10.4667935171417 102.934271428734 0.169910449905487 13.2088651332037 2020-02-23
55 2374406.71639907 92.9046678715661 0.676837208187533 33.4469437194758 16.2551521338099 143.283600931522 0.231350839601743 17.9852507038426 2020-02-24
56 2374352.03076958 126.267152742646 0.800843024074383 46.5621949031777 24.3390397536652 197.969230422284 0.314429968594432 24.4438352750616 2020-02-25
57 2374277.97512475 171.364546783796 0.990695950190177 64.1664966424835 35.5031358740376 272.024875249248 0.426731322383178 33.1741602038513 2020-02-26
58 2374177.83261294 232.235391231622 1.26544074331826 87.8545759062562 50.811979181293 372.167387060821 0.57831166051796 44.9580395613687 2020-02-27
59 2374042.66874981 314.221771975463 1.65124045326055 119.753837564855 71.7044001961655 507.331250187941 0.782473824331056 60.8296383277206 2020-02-28
60 2373860.65593118 424.35297792765 2.18345988171915 162.690086853464 100.1175441604 689.344068821054 1.05672212150611 82.1497441388174 2020-02-29
61 2373616.23110972 571.812580407471 2.90933438038327 220.398073095267 138.648902396925 933.768890278414 1.42392544532841 110.696188360058 2020-03-01
62 2373289.06648671 768.492428321919 3.89131001112842 297.783669196218 190.766105759815 1260.93351328745 1.91369683131145 148.771093035731 2020-03-02
63 2372852.84506048 1029.62519517524 5.21112346773714 401.24310453183 261.075516342648 1697.15493951598 2.56396862327953 199.323324548337 2020-03-03
64 2372273.8553181 1374.4680431333 6.97463738406371 539.04054852538 355.661452860104 2276.14468190121 3.4226949309398 266.080842938336 2020-03-04
65 2371509.45683947 1826.98070566979 9.31734933201552 721.737761211593 482.507344315444 3040.54316052748 4.5495401886287 353.681970727017 2020-03-05
66 2370506.52365339 2416.40089618601 12.410336229226 962.657342473382 652.007771723129 4043.47634661011 6.01731203560045 467.786785255773 2020-03-06
67 2369200.04747395 3177.56881228065 16.4661595884208 1278.34273229614 877.574821886729 5349.95252605015 7.9127693952871 615.139938895036 2020-03-07
68 2367512.17155145 4150.79799396225 21.743948180346 1688.95409525775 1176.33241115426 7037.8284485531 10.3363008869256 803.545658713515 2020-03-08
